,Close,^DJI,^GSPC,^IXIC,^SSMI,usd_interest,usd_inflation,chf_interest,chf_inflation
2021-03-22,1.0752226114273071,32731.19921875,3940.590087890625,13377.5400390625,11048.580078125,0.07,1.57039,-0.75,-0.4
2021-03-23,1.0831888914108276,32423.150390625,3910.52001953125,13227.7001953125,11098.66015625,0.07,1.57039,-0.75,-0.4
2021-03-24,1.0700680017471311,32420.060546875,3889.139892578125,12961.8896484375,11063.8701171875,0.07,1.57039,-0.75,-0.4
2021-03-25,1.068387508392334,32619.48046875,3909.52001953125,12977.6796875,11098.8095703125,0.07,1.57039,-0.75,-0.4
2021-03-26,1.064384698867798,33072.87890625,3974.5400390625,13138.73046875,11116.8095703125,0.07,1.57039,-0.75,-0.4
2021-03-29,1.064339280128479,33171.37109375,3971.090087890625,13059.650390625,11089.599609375,0.07,1.57039,-0.75,-0.4
2021-03-30,1.0650761127471924,33066.9609375,3958.550048828125,13045.3896484375,11121.419921875,0.07,1.57039,-0.75,-0.4
2021-03-31,1.0619205236434937,32981.55078125,3972.889892578125,13246.8701171875,11047.3701171875,0.06,1.57039,-0.75,-0.4
2021-04-01,1.0594342947006226,33153.2109375,4019.8701171875,13480.1103515625,11118.0302734375,0.07,1.57039,-0.75,-0.2
2021-04-06,1.0683304071426392,33430.23828125,4073.93994140625,13698.3798828125,11182.9501953125,0.07,1.57039,-0.75,-0.2
2021-04-07,1.0736525058746338,33446.26171875,4079.949951171875,13688.83984375,11128.1796875,0.07,1.57039,-0.75,-0.2
2021-04-08,1.0760787725448608,33503.5703125,4097.169921875,13829.3095703125,11206.8798828125,0.07,1.57039,-0.75,-0.2
2021-04-09,1.0820636749267578,33800.6015625,4128.7998046875,13900.1904296875,11238.51953125,0.07,1.57039,-0.75,-0.2
2021-04-12,1.0807422399520874,33745.3984375,4127.990234375,13850.0,11181.349609375,0.07,1.57039,-0.75,-0.2
2021-04-13,1.084481120109558,33677.26953125,4141.58984375,13996.099609375,11122.3701171875,0.07,2.80461,-0.75,-0.2
2021-04-14,1.0868383646011353,33730.890625,4124.66015625,13857.83984375,11156.2099609375,0.07,2.80461,-0.75,-0.2
2021-04-15,1.0837758779525757,34035.98828125,4170.419921875,14038.759765625,11198.7001953125,0.07,2.80461,-0.75,-0.2
2021-04-16,1.0847245454788208,34200.671875,4185.47021484375,14052.33984375,11262.9697265625,0.07,2.80461,-0.75,-0.2
2021-04-19,1.086307168006897,34077.62890625,4163.259765625,13914.76953125,11209.83984375,0.07,2.80461,-0.75,-0.2
